1ID,102Bde,,69,
1ID,103Bde,,72,
1ID,104Bde,,0,
1ID,55IB,,418,
1ID,10IB,,417,
1ID,18IB,,413,
1ID,44IB,,414,
1ID,53IB,,424,
1ID,51IB (CAFGU BN),,420,
1ID,64IB,,419,
1ID,97IB,,477,
1ID,11DRC,,97,
1ID,12DRC,,98,
1ID,14DRC,,100,
1ID,1MIB,,175,
1ID,1CMOB,,98,
1ID,HHSBn,,898,
1ID,SSB,,112,
1ID,KCSSH,,34,
1ID,1DTS,,39,
1ID,0,,0,
1ID,101BDE,,67,
1ID,15DRC (per DLT),,0,
1ID,0,,0,
1ID,0,,0,
1ID,Sub-total,0,5261,0
2ID,201Bde,,75,
2ID,202Bde,,66,
2ID,203Bde,,76,
2ID,74IB,,437,
2ID,85IB,,459,
2ID,1IB,,445,
2ID,16IB,,435,
2ID,4IB,,438,
2ID,80IB,,432,
2ID,76IB,,434,
2ID,68IB,,433,
2ID,21DRC,,85,
2ID,22DRC,,84,
2ID,23DRC,,84,
2ID,2MIB,,169,
2ID,2CMO Bn,,144,
2ID,HHSBn,,786,
2ID,SSBn,,110,
2ID,ASH,,36,
2ID,2DTS,,42,
2ID,59IB (CAFGU BN per DLT),,0,
2ID,0,,0,
2ID,0,,0,
2ID,0,,0,
2ID,0,,0,
2ID,Sub-total,0,5270,0
3ID,301Bde,,84,
3ID,302Bde,,80,
3ID,303Bde,,73,
3ID,82IB,,423,
3ID,61IB,,598,
3ID,79IB,,434,
3ID,11IB,,443,
3ID,62IB,,447,
3ID,47IB,,467,
3ID,15IB,,454,
3ID,94IB,,442,
3ID,31DRC,,85,
3ID,32DRC,,93,
3ID,33DRC,,90,
3ID,3MIB,,174,
3ID,3CMO Bn,,165,
3ID,HHSBn,,904,
3ID,SSBn,,93,
3ID,CPSH,,41,
3ID,3DTS,,39,
3ID,12IB (per DLT),,0,
3ID,0,,0,
3ID,0,,0,
3ID,0,,0,
3ID,0,,0,
3ID,Sub-total,0,5629,0
4ID,401Bde,,64,
4ID,402Bde,,75,
4ID,403Bde,,79,
4ID,36IB,,476,
4ID,29IB,,485,
4ID,30IB,,490,
4ID,26IB,,496,
4ID,58IB,,527,
4ID,8IB,,483,
4ID,23IB,,477,
4ID,75IB,,493,
4ID,88IB,,521,
4ID,41DRC,,80,
4ID,42DRC,,85,
4ID,43DRC,,83,
4ID,4MIB,,164,
4ID,4CMO Bn,,156,
4ID,HHSBn,,484,
4ID,SSBn,,117,
4ID,CESH,,67,
4ID,4DTS,,44,
4ID,0,,0,
4ID,0,,0,
4ID,0,,0,
4ID,0,,0,
4ID,0,,0,
4ID,Sub-total,0,5946,0
5ID,502Bde,,78,
5ID,503Bde,,68,
5ID,54IB,,468,
5ID,17IB,,453,
5ID,86IB,,448,
5ID,0,,0,
5ID,0,,0,
5ID,50IB,,461,
5ID,95IB,,469,
5ID,51DRC,,82,
5ID,52DRC,,79,
5ID,53DRC,,85,
5ID,5MIB,,149,
5ID,5CMO Bn,,115,
5ID,HHSBn,,865,
5ID,SSBn,,131,
5ID,Stn Hosp,,45,
5ID,5DTS,,47,
5ID,501BDE,,0,
5ID,77IB  (per DLT),,0,
5ID,0,,0,
5ID,0,,0,
5ID,0,,0,
5ID,Sub-total,0,4043,0
6ID,601Bde,,85,
6ID,602Bde,,85,
6ID,603Bde,,76,
6ID,33IB,,445,
6ID,7IB,,446,
6ID,40IB,,489,
6ID,57IB,,458,
6ID,6IB,,472,
6ID,37IB,,462,
6ID,90IB,,467,
6ID,61DRC,,93,
6ID,62DRC,,95,
6ID,63DRC,,97,
6ID,6MIB,,159,
6ID,6CMO Bn,,143,
6ID,HHSBn,,1153,
6ID,SSBn,,100,
6ID,CSSH,,39,
6ID,6DTS,,42,
6ID,64DRC,,0,
6ID,38IB (CAFGU BN per DLT),,0,
6ID,0,,0,
6ID,0,,0,
6ID,0,,0,
6ID,Sub-total,0,5406,0
7ID,701Bde,,78,
7ID,702Bde,,70,
7ID,703Bde,,75,
7ID,69IB,,398,
7ID,71IB,,422,
7ID,84IB,,409,
7ID,3IB,,433,
7ID,48IB,,406,
7ID,56IB,,406,
7ID,81IB,,408,
7ID,24IB,,414,
7ID,91IIB,,410,
7ID,72DRC,,95,
7ID,73DRC,,95,
7ID,7MIB,,203,
7ID,7CMO Bn,,183,
7ID,HHSBn,,947,
7ID,SSBn,,116,
7ID,FMASH,,55,
7ID,7DTS,,45,
7ID,70IB (per DLT),,0,
7ID,71DRC,,0,
7ID,0,,0,
7ID,0,,0,
7ID,0,,0,
7ID,Sub-total,0,5668,0
8ID,801BDE,,73,
8ID,802BDE,,77,
8ID,803BDE,,75,
8ID,14IB,,412,
8ID,43IB,,410,
8ID,87IB,,414,
8ID,19IB,,405,
8ID,78IB,,411,
8ID,46IB,,441,
8ID,20IB,,416,
8ID,34IB,,403,
8ID,63IB,,412,
8ID,93IB,,412,
